genre,platform,Total_Revenue,Average_Price,Number_of_Games
Action,Nintendo Switch,1049004338763097.0,48.683832148519414,117318
Action,PC,1148051059698107.0,47.67110774350746,117789
Action,PlayStation 4,940286341599939.0,43.40318166610907,116571
Action,PlayStation 5,1097530452572688.0,50.52410530915447,114425
Action,Xbox One,912684225832830.0,43.03040552453718,115702
Action,Xbox Series X/S,1088630986119683.0,50.66057419144295,116442
Adventure,Nintendo Switch,641562060192389.0,47.5122484445398,69915
Adventure,PC,672821146663993.0,48.08966629907051,69823
Adventure,PlayStation 4,601002037689163.0,43.852606865331666,69363
Adventure,PlayStation 5,676199085697022.0,50.205738028250714,68954
Adventure,Xbox One,601824687382966.0,43.25223341146511,69114
Adventure,Xbox Series X/S,678901342399525.0,50.16479972844535,73650
Battle Royale,Nintendo Switch,52391036133994.0,0.0,27287
Battle Royale,PC,44387239404308.0,0.0,25894
Battle Royale,PlayStation 4,42190503268067.0,0.0,23837
Battle Royale,PlayStation 5,48719667359817.0,0.0,22425
Battle Royale,Xbox One,31362449640501.0,0.0,25226
Battle Royale,Xbox Series X/S,43494508389437.0,0.0,23560
Fighting,Nintendo Switch,350693269790997.0,47.66455721248975,41442
Fighting,PC,341387352510002.0,47.8094661700807,40275
Fighting,PlayStation 4,362052459746088.0,42.95116458477633,41869
Fighting,PlayStation 5,399302677165332.0,51.875160362700306,43121
Fighting,Xbox One,372285945927459.0,41.8942089093702,48825
Fighting,Xbox Series X/S,389831746800946.0,50.46628133272914,41929
First-Person Shooter,Nintendo Switch,754742472505096.0,55.6365758258462,73682
First-Person Shooter,PC,866614873729686.0,55.757938648030176,80845
First-Person Shooter,PlayStation 4,723589987844709.0,51.23735603504494,70538
First-Person Shooter,PlayStation 5,871748632398798.0,58.622709427634334,81102
First-Person Shooter,Xbox One,735063096878796.0,50.8185504804291,77743
First-Person Shooter,Xbox Series X/S,866268208733818.0,59.220411859894554,76628
Horror,Nintendo Switch,228257960779523.0,28.594985751685474,43163
Horror,PC,238832418554586.0,28.47621273093104,43736
Horror,PlayStation 4,233304346059076.0,25.164552675406753,46834
Horror,PlayStation 5,243326833836499.0,29.452174160500853,43925
Horror,Xbox One,199845287074452.0,25.298591862375567,41388
Horror,Xbox Series X/S,204944066172137.0,29.90575147838108,39063
Indie,Nintendo Switch,142801434800879.0,14.323096564357547,53498
Indie,PC,134614803027264.0,14.314281835072174,55976
Indie,PlayStation 4,129225082528128.0,12.78691198224852,54080
Indie,PlayStation 5,138244224741569.0,14.79183859105864,51670
Indie,Xbox One,121046056420604.0,13.096239014156382,52909
Indie,Xbox Series X/S,129021165351569.0,15.093534885636053,48573
MMORPG,Nintendo Switch,38262913225034.0,4.919869441208371,24893
MMORPG,PC,38482162856405.0,3.9069246006114624,23223
MMORPG,PlayStation 4,33167515478264.0,3.4469044408053175,20762
MMORPG,PlayStation 5,37103916913501.0,4.202499033712691,23285
MMORPG,Xbox One,30619626415235.0,4.486113009994376,23113
MMORPG,Xbox Series X/S,35325700690682.0,4.562744992994313,24266
MOBA,Nintendo Switch,42508605453387.0,0.0,25730
MOBA,PC,44135316795040.0,0.0,24499
MOBA,PlayStation 4,35295696978676.0,0.0,21243
MOBA,PlayStation 5,48775404999222.0,0.0,25168
MOBA,Xbox One,39788595940450.0,0.0,27482
MOBA,Xbox Series X/S,47717823259098.0,0.0,23795
Platformer,Nintendo Switch,377304461124421.0,38.21542308232791,49813
Platformer,PC,372577273424943.0,37.068694486983155,52240
Platformer,PlayStation 4,367167732675294.0,33.33208695979096,53197
Platformer,PlayStation 5,392779149623964.0,39.68488895972798,47055
Platformer,Xbox One,328202946122753.0,33.530199614511176,52401
Platformer,Xbox Series X/S,364759932275144.0,39.07900797028554,51692
Puzzle,Nintendo Switch,148067083510406.0,18.88243596484639,39939
Puzzle,PC,148872621584380.0,18.50580176629443,41103
Puzzle,PlayStation 4,136622730329210.0,17.25790915956414,37076
Puzzle,PlayStation 5,149350359108967.0,19.58711949088676,35827
Puzzle,Xbox One,156066307105796.0,17.233441610348084,41283
Puzzle,Xbox Series X/S,190286360328382.0,19.20437771311358,41926
RPG,Nintendo Switch,984031545345952.0,57.73623094326856,94586
RPG,PC,995429720519665.0,56.710668346595,95639
RPG,PlayStation 4,853058832455617.0,51.589677545862564,91796
RPG,PlayStation 5,1130098723469501.0,59.510593855357804,99957
RPG,Xbox One,828607370701945.0,50.98001739706736,96568
RPG,Xbox Series X/S,898390775917107.0,59.2958405952083,87902
Racing,Nintendo Switch,349047135492322.0,48.744479250953646,34604
Racing,PC,397740543113515.0,46.700252166293446,41084
Racing,PlayStation 4,307395022132656.0,43.112846767435364,32219
Racing,PlayStation 5,324470911907860.0,51.28072819033886,34675
Racing,Xbox One,272254327351170.0,42.25298387804664,34177
Racing,Xbox Series X/S,334581223115565.0,48.90319582929747,35102
Sandbox,Nintendo Switch,211142991040548.0,28.65342815620206,37157
Sandbox,PC,201859203566853.0,28.288587779739196,35122
Sandbox,PlayStation 4,152546986467991.0,25.296677491374062,34489
Sandbox,PlayStation 5,200202644760715.0,29.671589270568276,37728
Sandbox,Xbox One,153795958031645.0,25.220072672741953,34676
Sandbox,Xbox Series X/S,163922557660005.0,29.780768089970955,32366
Simulation,Nintendo Switch,346063367654211.0,34.068908320084795,56610
Simulation,PC,336044727793359.0,33.36812859069791,60051
Simulation,PlayStation 4,308771788165441.0,30.279276431625725,59635
Simulation,PlayStation 5,338403131506140.0,36.01752661513781,54856
Simulation,Xbox One,287074855620571.0,30.10601248255422,63769
Simulation,Xbox Series X/S,364901788032286.0,35.29830523570202,62876
Sports,Nintendo Switch,532412098452176.0,56.612468685222254,56443
Sports,PC,562243302414052.0,56.41967646349447,58046
Sports,PlayStation 4,417151857967125.0,50.77426636443024,53821
Sports,PlayStation 5,536324134260913.0,58.400106116010605,55788
Sports,Xbox One,459496613841183.0,50.43644279037562,57770
Sports,Xbox Series X/S,544910983312832.0,57.885616330579644,58467
Strategy,Nintendo Switch,534918410128563.0,37.167964051403935,70267
Strategy,PC,430831998762200.0,36.94048723830117,68447
Strategy,PlayStation 4,360207816514686.0,33.33896090281203,64864
Strategy,PlayStation 5,463673395453393.0,38.358634890286346,66947
Strategy,Xbox One,451290031019008.0,34.214039668022195,66149
Strategy,Xbox Series X/S,499286369535503.0,38.299717214717,69063
Visual Novel,Nintendo Switch,48583752378235.0,13.67650002846894,17563
Visual Novel,PC,47777458527223.0,13.367149949760623,16919
Visual Novel,PlayStation 4,36972505389443.0,13.144779233381854,16488
Visual Novel,PlayStation 5,45579852601514.0,14.700267314702309,16460
Visual Novel,Xbox One,40179314191073.0,13.166403130059363,14824
Visual Novel,Xbox Series X/S,48513246210672.0,14.683063124432334,17616
