genre,platform,Total_Revenue,Average_Price,Number_of_Games
Action,Nintendo Switch,163723468092087.0,46.19605505575608,18563
Action,PC,203914395588772.0,47.43507956125445,19419
Action,PlayStation 4,163022631959644.0,41.464027397260274,18250
Action,PlayStation 5,152682399758391.0,50.89707452318567,16411
Action,Xbox One,114147525931510.0,42.52963394342762,15025
Action,Xbox Series X/S,171560104433058.0,50.90979921918572,17930
Adventure,Nintendo Switch,86526428961359.0,47.774155648715464,9303
Adventure,PC,100256861277675.0,47.82691262848752,10896
Adventure,PlayStation 4,75507314346509.0,43.72295194508009,8740
Adventure,PlayStation 5,86436233811873.0,52.250141588942576,8899
Adventure,Xbox One,67454265136864.0,39.8952783003209,9037
Adventure,Xbox Series X/S,94402595499350.0,48.32442194644024,10717
Battle Royale,Nintendo Switch,6903325908728.0,0.0,4126
Battle Royale,PC,4855477549131.0,0.0,3481
Battle Royale,PlayStation 4,4640779869504.0,0.0,3689
Battle Royale,PlayStation 5,7456998851282.0,0.0,3074
Battle Royale,Xbox One,4749751571883.0,0.0,3731
Battle Royale,Xbox Series X/S,4193608176310.0,0.0,3440
Fighting,Nintendo Switch,54214975969145.0,50.1487830798083,4799
Fighting,PC,52235251770150.0,47.18163166899985,6429
Fighting,PlayStation 4,58665671413598.0,42.975355951863136,6897
Fighting,PlayStation 5,83632475066411.0,52.15483382209188,8184
Fighting,Xbox One,66264658167080.0,42.20117318435754,8055
Fighting,Xbox Series X/S,62750077193723.0,49.22238852975302,6033
First-Person Shooter,Nintendo Switch,129186318218054.0,55.74122603655818,11215
First-Person Shooter,PC,144861035170433.0,56.546603773584906,12190
First-Person Shooter,PlayStation 4,114666359605902.0,52.6835593220339,10325
First-Person Shooter,PlayStation 5,103995152184252.0,58.877432536622976,10376
First-Person Shooter,Xbox One,99813139660006.0,50.53220267242095,12049
First-Person Shooter,Xbox Series X/S,146648234674859.0,61.34629188384214,10744
Horror,Nintendo Switch,35946128746180.0,27.372387214915932,6007
